Sample;Experiment;Condition;Subset
QX21586GM;BIO56;A17;x
QX21702GM;BIO63;A24;x
QX21520GM;BIO66;A27;x
QX21640GM;BIO68;A29;y
QX21782GM;BIO73;A34;y
QX21496GM;BIO82;A43;y
QX21568GM;BIO83;A44;y
QX21562GM;BIO86;A47;x
QX21463GM;BIO9;A8;x
QX21723GM;BIO96;B114;y
QX21690GM;BIO95;B202;y
QX21714GM;BIO10;B10;y
QX21511GM;BIO14;B14;x
QX21717GM;BIO22;B22;x
QX21553GM;BIO25;B25;x
QX21466GM;BIO47;B35;y
